name,category_id
Web Design,11
Landing Page Design,11
Design Thinking,11
Framer,11
Product Management,12
Project Management,12
Agile Methodology,12
Scrum,12
Kanban,12
Jira,12
Trello,12
Asana,12
Notion,12
Roadmap Planning,12
Backlog Management,12
Sprint Planning,12
User Stories,12
Requirements Gathering,12
Stakeholder Management,12
Risk Management,12
Resource Planning,12
Timeline Estimation,12
Product Strategy,12
Market Research,12
Competitor Analysis,12
MVP Planning,12
OKRs,12
KPIs,12
Product Analytics,12
Change Management,12
Documentation,12
Digital Marketing,13
Content Marketing,13
SEO,13
SEM,13
Google Ads,13
Meta Ads,13
Email Marketing,13
Social Media Marketing,13
Copywriting,13
Content Writing,13
Brand Strategy,13
Sales,13
Customer Relationship Management,13
HubSpot,13
Salesforce,13
Lead Generation,13
Growth Marketing,13
Marketing Analytics,13
Google Analytics,13
Conversion Rate Optimization,13
Public Relations,13
Community Management,13
E-commerce,13
Shopify,13
Customer Support,13
Negotiation,13
Accounting,14
Financial Accounting,14
Managerial Accounting,14
Bookkeeping,14
Financial Analysis,14
Financial Modeling,14
Budgeting,14
Forecasting,14
Cost Accounting,14
Auditing,14
Tax Preparation,14
Payroll,14
Accounts Payable,14
Accounts Receivable,14
QuickBooks,14
SAP Finance,14
Excel Financial Modeling,14
Investment Analysis,14
Risk Analysis,14
Corporate Finance,14
Banking Operations,14
Financial Reporting,14
IFRS,14
GAAP,14
Cash Flow Analysis,14
Communication,15
Teamwork,15
Problem Solving,15
Critical Thinking,15
Leadership,15
Time Management,15
Adaptability,15
Creativity,15
Attention to Detail,15
Presentation Skills,15
Public Speaking,15
Conflict Resolution,15
Decision Making,15
Emotional Intelligence,15
Active Listening,15
Collaboration,15
Customer Service,15
Mentoring,15
Analytical Thinking,15
Self-Motivation,15
Organization,15
Professional Writing,15
Research Skills,15
Learning Agility,15
Work Ethic,15
Microsoft Word,16
Microsoft Excel,16
Microsoft PowerPoint,16
Microsoft Outlook,16
Google Docs,16
Google Slides,16
Google Drive,16
Microsoft Teams,16
Slack,16
Zoom,16
Notion Workspace,16
Airtable,16
Trello Boards,16
Canva Presentations,16
Document Formatting,16
Email Management,16
Calendar Management,16
Data Entry,16
File Organization,16
PDF Editing,16
Report Writing,16
Presentation Design,16
AutoCAD,17
SolidWorks,17
CATIA,17
Fusion 360,17
Revit,17
SketchUp,17
MATLAB Simulink,17
Arduino,17
Raspberry Pi,17
PCB Design,17
Circuit Design,17
Electrical Engineering,17
Mechanical Design,17
Civil Engineering,17
Structural Analysis,17
3D Modeling,17
3D Printing,17
Robotics,17
PLC Programming,17
Instrumentation,17
Control Systems,17
CAD Drafting,17
BIM,17
Finite Element Analysis,17
Thermodynamics,17
Fluid Mechanics,17
Manufacturing Processes,17
Biology,18
Chemistry,18
Physics,18
Laboratory Techniques,18
Clinical Research,18
Medical Terminology,18
Anatomy,18
Physiology,18
Microbiology,18
Biochemistry,18
Genetics,18
Pharmacology,18
Public Health,18
Epidemiology,18
Healthcare Administration,18
Patient Care,18
First Aid,18
CPR,18
Nursing Fundamentals,18
Scientific Writing,18
Research Methodology,18
SPSS,18
Bioinformatics,18
Quality Control,18
Lab Safety,18
